elapsed_time_s,cpu_percent,system_memory_percent,system_memory_used_mb,process_rss_mb
18.516237497329712,25.4,13.8,1110.625,1018.75
19.016566276550293,24.0,13.8,1111.296875,1023.5625
19.516881465911865,24.0,13.9,1120.6875,1027.015625
20.01720142364502,25.0,13.9,1120.609375,1031.875
20.517558336257935,25.0,14.0,1129.359375,1034.078125
21.01789140701294,25.0,14.0,1129.359375,1035.3125
21.51824641227722,25.4,14.0,1128.75,1037.5
22.018585920333862,25.0,14.0,1129.921875,1040.921875
22.518940687179565,24.6,14.0,1128.015625,1044.890625
23.019303560256958,25.4,14.0,1131.921875,1049.515625
23.51965641975403,25.0,14.1,1137.578125,1054.3125
24.020427942276,25.0,14.1,1140.125,1058.4375
24.520774126052856,23.4,14.1,1140.328125,1061.734375
25.021085023880005,23.2,14.4,1163.96875,1073.828125
25.52143692970276,25.0,14.4,1164.25,1075.578125
26.02175259590149,25.0,14.4,1164.25,1078.140625
26.52210545539856,24.5,14.7,1182.953125,1102.875
27.02241086959839,25.0,14.7,1182.953125,1105.9375
27.52273654937744,25.4,14.7,1183.828125,1108.53125
28.02306890487671,25.5,14.6,1179.703125,1109.34375
28.52339792251587,24.6,14.6,1180.171875,1114.28125
29.023700714111328,25.0,14.7,1182.296875,1119.421875
29.524085521697998,25.4,14.7,1184.296875,1121.71875
30.02442240715027,25.0,14.7,1186.640625,1124.546875
30.524815320968628,25.0,15.0,1207.21875,1141.28125
31.02541208267212,36.3,15.3,1233.375,1173.28125
31.526024103164673,36.3,15.3,1234.625,1173.703125
32.026617765426636,36.7,15.3,1233.59375,1144.96875
32.52695083618164,43.5,15.3,1230.640625,1151.609375
33.0273003578186,41.3,15.3,1231.28125,1173.34375
33.52767777442932,37.3,15.2,1228.859375,1173.734375
34.028120279312134,36.8,15.2,1226.828125,1173.34375
34.52849626541138,36.8,15.2,1227.015625,1173.34375
35.029078245162964,36.5,15.2,1227.609375,1173.828125
35.5295512676239,37.0,15.2,1227.234375,1173.796875
36.029966592788696,36.2,15.2,1224.1875,1173.34375
36.530349254608154,36.5,15.2,1225.0,1174.375
37.030723333358765,36.2,15.2,1224.71875,1173.34375
37.531105756759644,36.5,15.2,1223.953125,1173.8125
38.03148341178894,36.7,15.2,1222.0,1173.796875
38.53186273574829,36.6,15.1,1220.609375,1173.78125
39.0322790145874,36.7,15.1,1220.203125,1173.765625
39.53269839286804,36.8,15.1,1219.46875,1173.8125
40.03334021568298,36.5,15.1,1214.359375,1173.78125
40.534008502960205,36.7,15.0,1210.734375,1173.34375
41.03466558456421,36.8,15.0,1211.546875,1173.8125
41.535290479660034,36.5,15.0,1208.1875,1173.84375
