timestamp,elapsed_s,cpu_percent_total,proc_rss_mb,sys_mem_percent,disk_used_gb,disk_free_gb
2026-02-22 03:42:34,19.073,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:35,19.575,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:35,20.076,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:36,20.578,11.3,12.19,5.8,29.138,160.862
2026-02-22 03:42:36,21.08,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:37,21.582,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:42:37,22.084,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:38,22.587,10.3,12.19,5.7,29.138,160.862
2026-02-22 03:42:38,23.089,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:39,23.59,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:39,24.092,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:40,24.594,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:42:40,25.097,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:41,25.599,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:41,26.1,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:42,26.602,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:42,27.104,10.3,12.19,5.7,29.138,160.862
2026-02-22 03:42:43,27.606,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:43,28.108,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:44,28.61,10.3,12.19,5.7,29.138,160.862
2026-02-22 03:42:44,29.111,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:45,29.613,12.7,12.19,5.8,29.138,160.862
2026-02-22 03:42:45,30.115,11.3,12.19,5.7,29.138,160.862
2026-02-22 03:42:46,30.616,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:46,31.118,11.2,12.19,5.8,29.138,160.862
2026-02-22 03:42:47,31.621,10.7,12.19,5.7,29.138,160.862
2026-02-22 03:42:47,32.122,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:48,32.624,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:48,33.126,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:49,33.628,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:49,34.129,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:50,34.631,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:50,35.133,11.0,12.19,5.7,29.138,160.862
2026-02-22 03:42:51,35.636,10.8,12.19,5.8,29.138,160.862
2026-02-22 03:42:51,36.137,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:42:52,36.639,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:52,37.141,10.5,12.19,5.7,29.138,160.862
2026-02-22 03:42:53,37.642,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:42:53,38.144,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:42:54,38.646,10.4,12.19,5.7,29.138,160.862
2026-02-22 03:42:54,39.148,10.6,12.19,5.7,29.138,160.862
2026-02-22 03:42:55,39.65,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:42:55,40.152,10.7,12.19,5.8,29.138,160.862
2026-02-22 03:42:56,40.654,10.6,12.19,5.8,29.138,160.862
2026-02-22 03:42:56,41.156,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:42:57,41.657,10.6,12.19,5.8,29.138,160.862
2026-02-22 03:42:57,42.159,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:42:58,42.661,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:42:58,43.163,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:42:59,43.665,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:42:59,44.167,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:00,44.668,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:00,45.17,10.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:01,45.672,11.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:01,46.174,10.9,12.19,5.8,29.138,160.862
2026-02-22 03:43:02,46.675,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:02,47.177,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:03,47.681,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:03,48.182,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:04,48.684,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:04,49.186,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:05,49.688,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:05,50.19,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:06,50.691,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:06,51.193,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:07,51.695,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:07,52.197,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:08,52.698,11.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:08,53.2,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:09,53.702,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:09,54.204,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:10,54.705,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:10,55.207,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:11,55.708,10.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:11,56.211,10.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:12,56.713,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:12,57.215,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:13,57.716,10.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:13,58.218,11.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:14,58.72,10.2,12.19,5.8,29.138,160.862
2026-02-22 03:43:14,59.222,11.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:15,59.724,10.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:15,60.226,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:16,60.728,10.3,12.19,5.8,29.138,160.862
