label,duration_s,snr_db,f0_mean_hz,f0_min_hz,f0_max_hz,intensity_min_db,intensity_max_db,f1_mean_hz,f2_mean_hz,rms_energy_mean,rms_energy_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_95,zcr_mean,zcr_std,time_to_peak_s,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,voiced_ratio
1.0,1.779125,16.069711685180664,214.2953755384717,197.70280407057922,249.08992447176465,-28.28777313232422,-7.123064994812012,394.8006121561669,876.1131918261088,0.27158647775650024,0.12316277623176575,501.9530905147834,352.3211218398812,1237.7232142857142,0.04363141741071429,0.010245776869651339,0.672,-234.33195608902784,56.382528115796674,233.09791233083556,32.25240544814635,5.706263648938783,35.09351065166484,0.875
1.0,1.501125,8.707043647766113,244.70603047050264,215.59643660857103,268.51450055605267,-20.45798110961914,-6.320608139038086,398.9982416433739,889.7549485227779,0.24336311221122742,0.08195178210735321,469.657825753818,323.3301817529395,1154.9202127659576,0.04431931515957447,0.012358482343567227,1.312,-281.4972127406987,39.74251348890263,188.57701849787148,28.279643901244793,9.58992247570041,21.51259781158928,0.9787234042553191
1.0,1.570625,15.95116138458252,240.48147043870614,223.1994285260446,247.65527207548806,-27.767803192138672,-5.334486961364746,349.8094812422526,870.4162201956209,0.2632131278514862,0.1288403421640396,435.51996966025195,326.57754522158314,1115.9375,0.03802734375,0.012308422672168754,1.216,-285.9254458511216,42.06390336968367,178.63842411689066,29.37034065078401,19.939655527381,33.36263721874761,0.88
1.0,1.8346875,21.51174545288086,243.72119317372147,192.07458901020084,271.6344887654643,-32.123600006103516,-6.906662940979004,381.1916730775052,866.9080256999283,0.2024271935224533,0.10923909395933151,457.03921471518663,330.77727064430616,1161.907327586207,0.040998787715517244,0.010879817570374059,1.44,-268.89024661684414,52.961106752378825,211.92081904961663,33.86183665487143,19.213420420445566,24.512823461064333,0.9655172413793104
1.0,1.362125,15.34706974029541,231.47718819301963,203.49593842053727,240.60500721642333,-28.532085418701172,-9.650474548339844,367.0359590172614,814.4707500948856,0.20213541388511658,0.08414827287197113,420.15121201073254,317.7484486374179,1052.3255813953488,0.03672329215116279,0.009874348299474695,0.64,-313.5491963654509,33.21781275164227,187.28322072233496,26.957814751474295,24.124743761225847,28.417079664151295,0.9302325581395349
1.0,1.640125,11.924999237060547,203.40094349029104,196.56411970905023,210.67220719096719,-26.561843872070312,-8.379488945007324,456.07319382775614,1005.1834727855748,0.26525184512138367,0.09032049030065536,542.2025191200103,396.2568535388331,1388.8221153846155,0.048020582932692304,0.01109611635414119,1.024,-226.04544119967275,42.06966860446994,245.87189631997367,24.810008719891197,-12.404399926512127,30.917165674643755,0.6730769230769231
0.0,1.7531875,16.75704574584961,78.49579088014298,74.0548776143282,81.695772662055,-34.885074615478516,-11.293269157409668,353.1920148014574,942.9921630952958,0.15697599947452545,0.07524650543928146,398.63347048929137,407.0786155019853,1384.9431818181818,0.03160511363636364,0.010054953411554707,1.12,-297.2360414186789,34.89478823932521,243.8676349656548,27.932154472845266,10.566417450994592,13.576415910762982,0.9818181818181818
0.0,2.4210625,14.000282287597656,80.49068696826872,70.30341458111748,85.06671609508557,-45.74542999267578,-16.522937774658203,367.0942262672003,857.806713600254,0.09490706771612167,0.033481165766716,521.2276759862704,457.3015857716611,1528.1661184210527,0.05220754523026316,0.01544360487506295,1.856,-315.50480854678005,34.65212066572211,255.4415182018482,19.469096708866807,-13.788680122769186,19.99781976984828,0.9736842105263158
0.0,2.045375,8.615072250366211,81.22423634888841,73.62835290502629,85.06671609508557,-27.034175872802734,-14.189956665039062,364.5666546991501,844.6062757327272,0.1090903952717781,0.03400009870529175,502.249384712775,442.11450241896625,1482.91015625,0.0471954345703125,0.018500040543598776,1.728,-303.44049063257137,15.2859739740579,252.31233352786916,12.741860351578664,-6.758860383074124,17.090990632711435,0.984375
0.0,1.2940625,13.38243579864502,81.03906065133762,77.55723809168673,88.57675191023606,-50.239646911621094,-12.794038772583008,461.04748526744055,1039.206173259792,0.13515639305114746,0.05115565285086632,463.4180901129599,438.2308227928041,1424.5426829268292,0.042135099085365856,0.016975726865937166,1.088,-292.0908659817294,42.15127725514771,246.53632782927068,26.309336820749888,-0.5616144572494384,24.88697073966181,0.975609756097561
